NU_MATRICULA,ANO_INGRESSO,SEMESTRE_INGRESSO,TIPO_INGRESSO,CAMPUS,COD_CURSO,CURSO,NATURALIDADE,UF_NATURALIDADE,PAIS_NATURALIDADE,BAIRRO_ENDERECO,CIDADE_ENDERECO,UF_ENDERECO,SEXO,DATA_NASC,COTA,TIPO_COTA,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,DEFICIENCIA
200952161,2019,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,AGRESTINA,PE,BRA,CENTRO,AGRESTINA,PE,F,20/09/2000,S,L10,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,DEFICIENCIA FISICA
200958505,2019,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,AGRESTINA,PE,BRA,CENTRO,AGRESTINA,PE,M,23/07/2001,S,L1,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200956623,2019,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,AGRESTINA,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,28/10/1995,N,A0,SUPERIOR INCOMPLETO,SEGUNDO GRAU INCOMPLETO,
200953988,2019,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,AGUA PRETA,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,13/04/2000,N,A0,SUPERIOR INCOMPLETO,ENSINO FUNDAMENTAL,
200958284,2019,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,ARCOVERDE,PE,BRA,POR DO SOL,ARCOVERDE,PE,F,23/01/1998,S,L6,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200951225,2019,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,ARCOVERDE,PE,BRA,UNIVERSITARIO,CARUARU,PE,M,23/10/1995,S,L5,ENSINO MEDIO,APERFEICOAMENTO,
200960999,2019,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BARRA DE GUABIRABA,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,06/06/1994,S,L2,,,
200951427,2019,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,SAO PEDRO,BELO JARDIM,PE,F,04/11/2001,N,A0,APERFEICOAMENTO,APERFEICOAMENTO,VISAO SUB-NORMAL OU BAIXA VISAO
200956670,2019,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,COHAB I,BELO JARDIM,PE,M,12/02/2001,N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200951779,2019,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,PETROPOLIS,CARUARU,PE,F,14/06/1990,S,L6,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
