NU_MATRICULA,ANO_INGRESSO,SEMESTRE_INGRESSO,TIPO_INGRESSO,CAMPUS,COD_CURSO,CURSO,NATURALIDADE,UF_NATURALIDADE,PAIS_NATURALIDADE,BAIRRO_ENDERECO,CIDADE_ENDERECO,UF_ENDERECO,SEXO,DATA_NASC,COTA,TIPO_COTA,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,DEFICIENCIA
200924841,2018,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,ABREU E LIMA,PE,BRA,SALGADO,CARUARU,PE,F,11/10/1999,N,A0,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,
200924675,2018,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,AFOGADOS DA INGAZEIRA,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,09/06/1999,S,L2,SUPERIOR INCOMPLETO,ENSINO MEDIO,
200925173,2018,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,BOM CONSELHO,BELO JARDIM,PE,F,04/09/2000,S,L6,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,
200925203,2018,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,SANTO ANTONIO,BELO JARDIM,PE,F,08/09/1998,S,L5,SEGUNDO GRAU INCOMPLETO,SEGUNDO GRAU INCOMPLETO,
200924609,2018,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,SANTO ANTONIO,BELO JARDIM,PE,F,15/11/1996,S,L13,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,DEFICIENCIA FISICA
200925737,2018,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,BOA VISTA,BELO JARDIM,PE,F,16/09/1997,N,A0,SEGUNDO GRAU INCOMPLETO,ENSINO FUNDAMENTAL,
200921616,2018,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,INDIANOPOLIS,CARUARU,PE,M,25/04/1996,N,A0,,,
200928496,2018,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,14/03/2000,S,L6,ALFABETIZADO SEM CURSOS REGULARES,ALFABETIZADO SEM CURSOS REGULARES,
200922421,2018,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,24/01/1997,S,L6,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,
200926013,2018,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,25/06/1998,N,A0,SEGUNDO GRAU INCOMPLETO,ENSINO FUNDAMENTAL,
